Sigla,Estado_Mai,Estado_Min
TOTAL,BRASIL,Brasil
AC,ACRE,Acre
AP,AMAPÁ,Amapá
AM,AMAZONAS,Amazonas
PA,PARÁ,Pará
RO,RONDÔNIA,Rondônia
RR,RORAIMA,Roraima
TO,TOCANTINS,Tocantins
AL,ALAGOAS,Alagoas
BA,BAHIA,Bahia
CE,CEARÁ,Ceará
MA,MARANHÃO,Maranhão
PB,PARAÍBA,Paraíba
PE,PERNAMBUCO,Pernambuco
PI,PIAUÍ,Piauí
RN,RIO GRANDE DO NORTE,Rio Grande do Norte
SE,SERGIPE,Sergipe
ES,ESPÍRITO SANTO,Espírito Santo
MG,MINAS GERAIS,Minas Gerais
RJ,RIO DE JANEIRO,Rio de Janeiro
SP,SÃO PAULO,São Paulo
PR,PARANÁ,Paraná
RS,RIO GRANDE DO SUL,Rio Grande do Sul
SC,SANTA CATARINA,Santa Catarina
DF,DISTRITO FEDERAL,Distrito Federal
GO,GOIÁS,Goiás
MT,MATO GROSSO,Mato Grosso
MS,MATO GROSSO DO SUL,Mato Grosso do Sul
